item,url,old_price,new_price,status
Adventure Medical Kits Ultralight/Watertight .7,https://adventuremedicalkits.com/products/ultralight-watertight-medical-kit-7,44.99,44.99,ok
ASR Outdoor 1/2" Mesh Classifier,https://asroutdoor.com/products/half-inch-plastic-sifting-screen-classifier-4-holes-per-square-inch,25,25.00,ok
Black Diamond Spot 400,https://blackdiamondequipment.com/products/spot-400-headlamp,59.95,59.95,ok
Garrett + Gold Fever Prospecting Curated kit,https://garrett.com/garrett-14-gold-trap-pan/,95,8.99,wrong_product
GSI Outdoors Cathole Trowel,https://gsioutdoors.com/products/cathole-trowel,7.95,7.95,ok
Merino.tech Men's/Women's Long Sleeve Base Layer Set,https://merino.tech/products/men-250-base-layer-set-wool-clothing,100,99.99,ok
Mountain House 2-serving pouches (various),https://mountainhouse.com/collections/pouches,,,ok
Sea to Summit Frontier Ultralight Spoon - Long Handle,https://seatosummit.com/products/alpha-light-utensil-long-spoon,10.95,,dead
DIY assembled Estwing BP-14 pan + ASR classifier + snuffer + vials,https://toolup.com/products/estwing-bp-14-14-black-plastic-gold-pan-9-oz,45,7.26,changed
Ursack Major XL (with OPSak liner),https://ursack.com/products/ursack-major-xl-opsak,149.95,149.95,ok
Generic Glass Vials with Foam-Lined Screw Caps (12-pack),https://www.amazon.com/ASR-Outdoor-Flake-Collection-Vials/dp/B010YGC7DM,9.99,9.99,ok
ASR Outdoor Hook and Pick Precision Crevice Tool Set 6pc,https://www.amazon.com/ASR-Outdoor-Precision-Prospecting-Crevice/dp/B09YCDQPL6,17.25,17.25,ok
Anker Power Bank 10000mAh Portable Charger,https://www.amazon.com/Anker-Portable-Charger-PowerIQ-Battery/dp/B0D5CLSMFB,21.99,21.99,ok
Cascade Mountain Tech Carbon Fiber Quick Lock (pair),https://www.amazon.com/Cascade-Mountain-Tech-Carbon-Trekking/dp/B07RH3P6MT,51.98,,dead
8 Fans 3mm Neoprene Wading/Water Socks,https://www.amazon.com/Fans-Neoprene-Wading-Socks-Fishing/dp/B0DW8VW4HY,30.19,30.19,ok
Generic Foam Gardening Knee Pad (Fiskars),https://www.amazon.com/Fiskars-94216974J-Ultralight-Kneeling-Cushion/dp/B0002YTVJA,8,8.99,changed
Generic Stainless Steel Crevice Tool Set with Magnet,https://www.amazon.com/Gold-Digger-Ultimate-Prospecting-Crevice/dp/B0HFKW1ZG4,59.95,59.95,ok
IMUSA Aluminum Sauce Pan 1-Quart,https://www.amazon.com/IMUSA-A004-025001-Aluminum-1-Quart-Silver/dp/B0018E9UV2,12.99,12.99,ok
Klymit Insulated Static V,https://www.amazon.com/Insulated-Inflatable-Comfortable-Lightweight-Backpacking/dp/B07YP8QDJR,74.21,74.21,ok
Generic 30x60 Jeweler's Loupe with LED Light,https://www.amazon.com/JARLINK-Illuminated-Jewelers-Magnifier-Foldable/dp/B078N34WZR,13,8.98,changed
Generic 10x Plastic Keychain Loupe,https://www.amazon.com/Magnifier-Portable-Keychain-Diamonds-Antiques/dp/B09B1ZBY47,19,,dead
Nitecore NB10000 Gen 3,https://www.amazon.com/NITECORE-NB10000-GEN3-Portable-Charger/dp/B0H85CT2GM,64.95,64.95,ok
Generic 2-Pack Glass-Tip Snuffer Bottle w/ Tweezers,https://www.amazon.com/Panning-Sniffer-Snuffer-Bottle-Tweezer/dp/B0D38QYGYR,9,,dead
SE/Prospector's Choice 24" Rubber Gauntlet Gloves,https://www.amazon.com/SE-GP3-RG60-Prospectors-Choice-Rubber/dp/B06XJDFYWS,18,14.99,changed
Showa Atlas 620 PVC-Coated Gauntlet Glove,https://www.amazon.com/SHOWA-Showa-620L-09-1-Pair/dp/B000VNO2BE,10,,dead
Generic Fleece-lined knit beanie (Wmcaps),https://www.amazon.com/Wmcaps-Winter-Beanie-Hats-for-Men-Women-Fleece-Lined-Beanie-Soft-Warm-Knit-Hat-Ski-Stocking-Cuffed-Cap/dp/B0BBZZZH84,10,14.99,changed
Generic Ziploc freezer bags + nylon stuff sack,https://www.amazon.com/dp/B0028CXKQE,12,8.99,ok
TrailBuddy Aluminum adjustable trekking poles (pair),https://www.amazon.com/dp/B07C46QPTR,39.99,49.99,changed
Generic Compactor/contractor trash bag,https://www.amazon.com/dp/B07SM88VVF,10,10.28,ok
DIY Stuff sack / inflatable pillow,https://www.amazon.com/dp/B0896WCB5D,20,19.98,ok
DIY Tyvek HomeWrap sheet,https://www.amazon.com/dp/B0CWDQDS32,22,22.22,ok
Generic Small toiletry bag + biodegradable wipes (search link),https://www.amazon.com/s?k=biodegradable+camp+wipes+travel+toiletry+kit,9,,ok
Columbia Watertight II Rain Jacket (Men's),https://www.columbia.com/p/mens-watertight-ii-jacket-1533891.html,70,70.00,ok
Crocs Classic Clog,https://www.crocs.com/p/classic-clog/10001.html,49.99,49.99,ok
Decathlon (Quechua) MH100 Fleece,https://www.decathlon.com/products/mens-hiking-fleece-mh100-312361,25,24.99,ok
Decathlon (Simond) MT100 Hooded Down Puffer Jacket,https://www.decathlon.com/products/simond-mt100-hooded-down-puffer-jacket-167571,80,80.00,ok
FarPointe Outdoor Gear Alpha Drifter Beanie,https://www.farpointeog.com/stock/p/alpha-caps,38,38.00,ok
DIY Polycryo window-shrink-film sheet,https://www.gossamergear.com/products/polycryo-tent-footprint-ground-cloths,13,13.00,ok
Generic Leak-Proof Glass Gold Vials (collection page),https://www.highplainsprospectors.com/collections/gold-prospecting/vials-snuffer-bottles,4,,ok
